neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,bath
Hyde Park,41.7879,-87.5878,Private room,129,3,220,2.14,1,350,19,4.99,1,1,1
West Town,41.90166,-87.68021,Entire home/apt,94,32,493,2.9,1,295,44,4.70,1,1,1
West Lawn,41.78225,-87.72806,Private room,39,1,335,3.11,2,196,6,4.84,1,1,1
Logan Square,41.93115,-87.71836,Entire home/apt,100,32,27,0.22,4,198,3,4.73,3,6,1
Lincoln Park,41.91196,-87.63981,Entire home/apt,219,4,66,0.59,7,94,19,4.64,2,2,1
West Ridge,42.01653,-87.68788,Shared room,234,1,139,1.08,16,0,0,4.66,1,1,2
Lincoln Park,41.92218,-87.66079,Private room,85,2,140,1.16,1,92,26,4.92,3,1,2.5
South Shore,41.77206,-87.56982,Entire home/apt,75,32,245,2.22,1,329,0,4.84,2,1,2
Lincoln Park,41.925961,-87.656364,Entire home/apt,92,32,42,0.26,4,200,2,4.29,1,1,1
Logan Square,41.91571,-87.67449,Entire home/apt,138,2,448,4.06,1,116,50,4.83,1,1,1
Lincoln Park,41.92546,-87.6573,Entire home/apt,120,32,43,0.35,4,141,5,4.32,2,2,1
Lincoln Park,41.92499,-87.65573,Entire home/apt,86,32,51,0.32,4,261,2,4.30,2,3,1
Logan Square,41.92708,-87.71212,Private room,110,32,145,1.19,1,4,0,4.99,1,1,1
North Center,41.96136,-87.6784,Entire home/apt,160,3,133,1.4,1,286,22,4.94,2,2,2
Logan Square,41.92137,-87.67932,Entire home/apt,200,2,177,1.16,1,37,30,4.77,3,3,2
Logan Square,41.91533279418945,-87.67047882080078,Entire home/apt,225,2,121,1.15,6,64,18,4.71,2,3,1
Uptown,41.97303,-87.66567,Private room,110,32,250,1.59,2,0,0,4.99,1,1,1.5
Lincoln Park,41.912410736083984,-87.63896942138672,Entire home/apt,130,3,440,3.54,1,70,55,4.93,1,1,1
West Town,41.89615,-87.67934,Private room,95,3,103,0.7,2,216,12,4.87,1,1,1
East Garfield Park,41.88538,-87.69801,Private room,136,5,23,0.19,1,362,0,4.91,1,1,1.5
Rogers Park,42.00729,-87.67708,Entire home/apt,130,32,45,0.41,1,323,0,4.91,1,2,1
West Town,41.89615,-87.67934,Private room,89,3,127,0.86,2,52,22,4.88,1,1,1
Logan Square,41.91634,-87.69335,Entire home/apt,1607,1,80,0.74,10,355,14,4.90,6,9,2.5
